Date,Close,High,Low,Open,Volume,Tic
2021-01-04,1455.0,1460.0,1360.0,1430.0,110366200,ADRO.JK
2021-01-05,1425.0,1470.0,1420.0,1455.0,107023500,ADRO.JK
2021-01-06,1375.0,1420.0,1340.0,1415.0,203948800,ADRO.JK
2021-01-07,1405.0,1430.0,1360.0,1370.0,204243100,ADRO.JK
2021-01-08,1445.0,1485.0,1430.0,1450.0,165263900,ADRO.JK
2021-01-11,1525.0,1540.0,1470.0,1490.0,278542900,ADRO.JK
2021-01-12,1475.0,1535.0,1470.0,1530.0,183107400,ADRO.JK
2021-01-13,1515.0,1540.0,1490.0,1530.0,204773900,ADRO.JK
2021-01-14,1495.0,1535.0,1490.0,1525.0,105347800,ADRO.JK
2021-01-15,1455.0,1495.0,1450.0,1495.0,86423600,ADRO.JK
2021-01-18,1440.0,1485.0,1425.0,1450.0,101719800,ADRO.JK
2021-01-19,1415.0,1460.0,1390.0,1440.0,80577200,ADRO.JK
2021-01-20,1415.0,1440.0,1385.0,1400.0,77779700,ADRO.JK
2021-01-21,1410.0,1435.0,1405.0,1425.0,46712900,ADRO.JK
2021-01-22,1350.0,1420.0,1345.0,1410.0,92579500,ADRO.JK
2021-01-25,1295.0,1350.0,1260.0,1350.0,142274300,ADRO.JK
2021-01-26,1260.0,1335.0,1230.0,1290.0,138670800,ADRO.JK
2021-01-27,1245.0,1285.0,1215.0,1260.0,119157300,ADRO.JK
2021-01-28,1200.0,1275.0,1190.0,1230.0,201003600,ADRO.JK
2021-01-29,1200.0,1255.0,1160.0,1220.0,192575300,ADRO.JK
2021-02-01,1230.0,1235.0,1165.0,1205.0,165569500,ADRO.JK
2021-02-02,1200.0,1265.0,1185.0,1230.0,176841000,ADRO.JK
2021-02-03,1170.0,1210.0,1155.0,1200.0,173080500,ADRO.JK
2021-02-04,1165.0,1210.0,1150.0,1170.0,296042000,ADRO.JK
2021-02-05,1210.0,1230.0,1175.0,1185.0,225757600,ADRO.JK
2021-02-08,1220.0,1255.0,1215.0,1240.0,171974800,ADRO.JK
2021-02-09,1210.0,1235.0,1200.0,1235.0,124214600,ADRO.JK
2021-02-10,1200.0,1225.0,1195.0,1220.0,70872800,ADRO.JK
2021-02-11,1215.0,1230.0,1195.0,1200.0,79109900,ADRO.JK
2021-02-15,1215.0,1240.0,1210.0,1230.0,75301100,ADRO.JK
2021-02-16,1210.0,1235.0,1205.0,1215.0,72063600,ADRO.JK
2021-02-17,1180.0,1220.0,1170.0,1210.0,123787800,ADRO.JK
2021-02-18,1175.0,1200.0,1165.0,1180.0,68479800,ADRO.JK
2021-02-19,1180.0,1185.0,1160.0,1175.0,55397800,ADRO.JK
2021-02-22,1210.0,1230.0,1185.0,1195.0,168255300,ADRO.JK
2021-02-23,1205.0,1230.0,1200.0,1225.0,96889300,ADRO.JK
2021-02-24,1185.0,1220.0,1185.0,1215.0,74830000,ADRO.JK
2021-02-25,1200.0,1215.0,1190.0,1200.0,79549900,ADRO.JK
2021-02-26,1180.0,1195.0,1175.0,1180.0,89372000,ADRO.JK
2021-03-01,1185.0,1200.0,1180.0,1195.0,96722600,ADRO.JK
2021-03-02,1185.0,1220.0,1185.0,1200.0,125690800,ADRO.JK
2021-03-03,1185.0,1200.0,1185.0,1195.0,53347200,ADRO.JK
2021-03-04,1220.0,1235.0,1180.0,1185.0,242780100,ADRO.JK
2021-03-05,1180.0,1220.0,1175.0,1210.0,157251500,ADRO.JK
2021-03-08,1175.0,1200.0,1170.0,1190.0,73736900,ADRO.JK
2021-03-09,1165.0,1190.0,1160.0,1175.0,84429300,ADRO.JK
2021-03-10,1170.0,1185.0,1160.0,1175.0,53621900,ADRO.JK
2021-03-12,1210.0,1225.0,1185.0,1190.0,170821500,ADRO.JK
2021-03-15,1235.0,1260.0,1220.0,1225.0,173813000,ADRO.JK
2021-03-16,1220.0,1250.0,1205.0,1245.0,99266400,ADRO.JK
2021-03-17,1230.0,1235.0,1215.0,1215.0,67741700,ADRO.JK
2021-03-18,1270.0,1270.0,1235.0,1245.0,174402800,ADRO.JK
2021-03-19,1300.0,1300.0,1240.0,1270.0,377618800,ADRO.JK
2021-03-22,1285.0,1340.0,1280.0,1305.0,178934000,ADRO.JK
2021-03-23,1300.0,1330.0,1290.0,1320.0,108812100,ADRO.JK
2021-03-24,1225.0,1280.0,1220.0,1280.0,139175600,ADRO.JK
2021-03-25,1205.0,1245.0,1190.0,1225.0,119051300,ADRO.JK
2021-03-26,1220.0,1225.0,1200.0,1215.0,58260700,ADRO.JK
2021-03-29,1205.0,1235.0,1205.0,1230.0,51416200,ADRO.JK
2021-03-30,1175.0,1205.0,1170.0,1205.0,93116600,ADRO.JK
2021-03-31,1175.0,1185.0,1160.0,1175.0,80881500,ADRO.JK
2021-04-01,1180.0,1200.0,1170.0,1175.0,51622400,ADRO.JK
2021-04-05,1185.0,1205.0,1180.0,1195.0,45262300,ADRO.JK
2021-04-06,1210.0,1210.0,1180.0,1200.0,48401800,ADRO.JK
2021-04-07,1220.0,1225.0,1200.0,1210.0,39520700,ADRO.JK
2021-04-08,1230.0,1230.0,1205.0,1220.0,44812000,ADRO.JK
2021-04-09,1205.0,1230.0,1205.0,1220.0,38632200,ADRO.JK
2021-04-12,1180.0,1215.0,1175.0,1210.0,40274800,ADRO.JK
2021-04-13,1160.0,1185.0,1160.0,1180.0,61790200,ADRO.JK
2021-04-14,1195.0,1200.0,1165.0,1175.0,38916200,ADRO.JK
2021-04-15,1190.0,1200.0,1170.0,1195.0,38983700,ADRO.JK
